"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY3","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0000110001","00200564","00111","二人以上の普通世帯 全世帯，年間収入階級（１９），収支項目（２１９）・Ａ１全，全国，３大都市圏平均，都市階級，地方・４大都市圏","昭和59年全国消費実態調査","全国","家計収支編",NA,"-","198401-198412","2022-12-23"
"0000110002","00200564","00112","二人以上の普通世帯 勤労者世帯，年間収入階級（１９），収支項目（２７９）・Ａ１勤，全国，３大都市圏平均，都市階級，地方・４大都市圏","昭和59年全国消費実態調査","全国","家計収支編",NA,"-","198401-198412","2022-12-23"
"0000110003","00200564","00201","二人以上の普通世帯 全世帯，世帯主の年間収入階級（１９），収支項目（２１９）・Ａ１全，全国，３大都市圏平均","昭和59年全国消費実態調査","全国","家計収支編",NA,"-","198401-198412","2022-12-23"
"0000110004","00200564","00202","二人以上の普通世帯 勤労者世帯，世帯主の年間収入階級（１９），収支項目（２７９）・Ａ１勤，全国，３大都市圏平均","昭和59年全国消費実態調査","全国","家計収支編",NA,"-","198401-198412","2022-12-23"
"0000110005","00200564","00301","二人以上の普通世帯 全世帯，年間収入十分位階級（１１），収支項目（２１９）・Ａ１全，全国，３大都市圏平均","昭和59年全国消費実態調査","全国","家計収支編",NA,"-","198401-198412","2022-12-23"
"0000110006","00200564","00302","二人以上の普通世帯 勤労者世帯，年間収入十分位階級（１１），収支項目（２７９）・Ａ１勤，全国，３大都市圏平均","昭和59年全国消費実態調査","全国","家計収支編",NA,"-","198401-198412","2022-12-23"
"0000110007","00200564","00401","二人以上の普通世帯 全世帯，世帯主の年間収入十分位階級（１１ｂ），収支項目（２１９）・Ａ１全，全国，３大都市圏平均","昭和59年全国消費実態調査","全国","家計収支編",NA,"-","198401-198412","2022-12-23"
"0000110008","00200564","00402","二人以上の普通世帯 勤労者世帯，世帯主の年間収入十分位階級（１１ｂ），収支項目（２７９）・Ａ１勤，全国，３大都市圏平均","昭和59年全国消費実態調査","全国","家計収支編",NA,"-","198401-198412","2022-12-23"
"0000110009","00200564","005","二人以上の普通世帯 勤労者世帯，現金実収入階級（１９），収支項目（７０）・Ｂ１勤，全国，３大都市圏平均","昭和59年全国消費実態調査","全国","家計収支編",NA,"-","198401-198412","2022-12-23"
"0000110010","00200564","006","二人以上の普通世帯 勤労者世帯，現金実収入十分位階級（１１ｃ），収支項目（７０）・Ｂ１勤，全国，３大都市圏平均","昭和59年全国消費実態調査","全国","家計収支編",NA,"-","198401-198412","2022-12-23"
"0000110011","00200564","007","二人以上の普通世帯 勤労者世帯，世帯主の定期収入階級（１９），収支項目（７０）・Ｂ１勤，全国","昭和59年全国消費実態調査","全国","家計収支編",NA,"-","198401-198412","2022-12-23"
"0000110012","00200564","008","二人以上の普通世帯 勤労者世帯，世帯主の定期収入十分位階級（１１ｄ），収支項目（７０）・Ｂ１勤，全国","昭和59年全国消費実態調査","全国","家計収支編",NA,"-","198401-198412","2022-12-23"
"0000110013","00200564","00901","二人以上の普通世帯 全世帯，世帯主の年齢５歳階級（１３），収支項目（２１９）・Ａ１全，全国，３大都市圏平均，都市階級，地方・４大都市圏","昭和59年全国消費実態調査","全国","家計収支編",NA,"-","198401-198412","2022-12-23"
