"STATDISPID","statcode","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003349246","00100107","Ｑ１　　あなたの性別をお答えください。(〇はひとつだけ）　〔ひきこもり類型〕","若者の生活に関する調査","本人票","年度次","201504-201603","2020-01-18"
"0003349247","00100107","Ｑ１　　あなたの性別をお答えください。(〇はひとつだけ）　〔性・年齢別〕","若者の生活に関する調査","本人票","年度次","201504-201603","2020-01-18"
"0003349248","00100107","Ｑ１　　あなたの性別をお答えください。(〇はひとつだけ）　〔都市規模〕","若者の生活に関する調査","本人票","年度次","201504-201603","2020-01-18"
"0003349249","00100107","Ｑ１　　あなたの性別をお答えください。(〇はひとつだけ）　〔地域〕","若者の生活に関する調査","本人票","年度次","201504-201603","2020-01-18"
"0003349250","00100107","Ｑ２　　あなたの年齢をお答えください。(〇はひとつだけ）　〔ひきこもり類型〕","若者の生活に関する調査","本人票","年度次","201504-201603","2020-01-18"
"0003349251","00100107","Ｑ２　　あなたの年齢をお答えください。(〇はひとつだけ）　〔性・年齢別〕","若者の生活に関する調査","本人票","年度次","201504-201603","2020-01-18"
"0003349252","00100107","Ｑ２　　あなたの年齢をお答えください。(〇はひとつだけ）　〔都市規模〕","若者の生活に関する調査","本人票","年度次","201504-201603","2020-01-18"
"0003349253","00100107","Ｑ２　　あなたの年齢をお答えください。(〇はひとつだけ）　〔地域〕","若者の生活に関する調査","本人票","年度次","201504-201603","2020-01-18"
"0003349254","00100107","Ｑ３　　現在あなたと同居しているご家族に○をつけてください。（〇はいくつでも）　〔ひきこもり類型〕","若者の生活に関する調査","本人票","年度次","201504-201603","2020-01-18"
"0003349255","00100107","Ｑ３　　現在あなたと同居しているご家族に○をつけてください。（〇はいくつでも）　〔性・年齢別〕","若者の生活に関する調査","本人票","年度次","201504-201603","2020-01-18"
"0003349256","00100107","Ｑ３　　現在あなたと同居しているご家族に○をつけてください。（〇はいくつでも）　〔都市規模〕","若者の生活に関する調査","本人票","年度次","201504-201603","2020-01-18"
"0003349257","00100107","Ｑ３　　現在あなたと同居しているご家族に○をつけてください。（〇はいくつでも）　〔地域〕","若者の生活に関する調査","本人票","年度次","201504-201603","2020-01-18"
"0003349258","00100107","Ｑ４　　現在同居している人は合計で何人ですか。あなたも含めた人数を記入してください。（数字で具体的に）　〔ひきこもり類型〕","若者の生活に関する調査","本人票","年度次","201504-201603","2020-01-18"
"0003349259","00100107","Ｑ４　　現在同居している人は合計で何人ですか。あなたも含めた人数を記入してください。（数字で具体的に）　〔性・年齢別〕","若者の生活に関する調査","本人票","年度次","201504-201603","2020-01-18"
"0003349260","00100107","Ｑ４　　現在同居している人は合計で何人ですか。あなたも含めた人数を記入してください。（数字で具体的に）　〔都市規模〕","若者の生活に関する調査","本人票","年度次","201504-201603","2020-01-18"
"0003349261","00100107","Ｑ４　　現在同居している人は合計で何人ですか。あなたも含めた人数を記入してください。（数字で具体的に）　〔地域〕","若者の生活に関する調査","本人票","年度次","201504-201603","2020-01-18"
"0003349262","00100107","Ｑ５　　あなたの家の生計を立てているのは主にどなたですか。生計を立てている方が複数いる場合は、もっとも多く家計を負担している人をお答えください。また、主に仕送りで生計を立てている方は、その仕送りを主にしてくれている人をお答えください。(〇はひとつだけ）　〔ひきこもり類型〕","若者の生活に関する調査","本人票","年度次","201504-201603","2020-01-18"
"0003349263","00100107","Ｑ５　　あなたの家の生計を立てているのは主にどなたですか。生計を立てている方が複数いる場合は、もっとも多く家計を負担している人をお答えください。また、主に仕送りで生計を立てている方は、その仕送りを主にしてくれている人をお答えください。(〇はひとつだけ）　〔性・年齢別〕","若者の生活に関する調査","本人票","年度次","201504-201603","2020-01-18"
"0003349264","00100107","Ｑ５　　あなたの家の生計を立てているのは主にどなたですか。生計を立てている方が複数いる場合は、もっとも多く家計を負担している人をお答えください。また、主に仕送りで生計を立てている方は、その仕送りを主にしてくれている人をお答えください。(〇はひとつだけ）　〔都市規模〕","若者の生活に関する調査","本人票","年度次","201504-201603","2020-01-18"
"0003349265","00100107","Ｑ５　　あなたの家の生計を立てているのは主にどなたですか。生計を立てている方が複数いる場合は、もっとも多く家計を負担している人をお答えください。また、主に仕送りで生計を立てている方は、その仕送りを主にしてくれている人をお答えください。(〇はひとつだけ）　〔地域〕","若者の生活に関する調査","本人票","年度次","201504-201603","2020-01-18"
"0003349266","00100107","Ｑ６　　あなたの家の暮らし向き（衣・食・住・レジャーなどの物質的な生活水準）は、世間一般と比べてみて、上の上から下の下までのどれにあたると思われますか。あなたの実感でお答えください。(〇はひとつだけ）　〔ひきこもり類型〕","若者の生活に関する調査","本人票","年度次","201504-201603","2020-01-18"
"0003349267","00100107","Ｑ６　　あなたの家の暮らし向き（衣・食・住・レジャーなどの物質的な生活水準）は、世間一般と比べてみて、上の上から下の下までのどれにあたると思われますか。あなたの実感でお答えください。(〇はひとつだけ）　〔性・年齢別〕","若者の生活に関する調査","本人票","年度次","201504-201603","2020-01-18"
"0003349268","00100107","Ｑ６　　あなたの家の暮らし向き（衣・食・住・レジャーなどの物質的な生活水準）は、世間一般と比べてみて、上の上から下の下までのどれにあたると思われますか。あなたの実感でお答えください。(〇はひとつだけ）　〔都市規模〕","若者の生活に関する調査","本人票","年度次","201504-201603","2020-01-18"
"0003349269","00100107","Ｑ６　　あなたの家の暮らし向き（衣・食・住・レジャーなどの物質的な生活水準）は、世間一般と比べてみて、上の上から下の下までのどれにあたると思われますか。あなたの実感でお答えください。(〇はひとつだけ）　〔地域〕","若者の生活に関する調査","本人票","年度次","201504-201603","2020-01-18"
"0003349270","00100107","Ｑ７　　あなたがお住まいの地域にあてはまるものにすべて○をつけてください。（〇はいくつでも）　〔ひきこもり類型〕","若者の生活に関する調査","本人票","年度次","201504-201603","2020-01-18"
"0003349271","00100107","Ｑ７　　あなたがお住まいの地域にあてはまるものにすべて○をつけてください。（〇はいくつでも）　〔性・年齢別〕","若者の生活に関する調査","本人票","年度次","201504-201603","2020-01-18"
"0003349272","00100107","Ｑ７　　あなたがお住まいの地域にあてはまるものにすべて○をつけてください。（〇はいくつでも）　〔都市規模〕","若者の生活に関する調査","本人票","年度次","201504-201603","2020-01-18"
"0003349273","00100107","Ｑ７　　あなたがお住まいの地域にあてはまるものにすべて○をつけてください。（〇はいくつでも）　〔地域〕","若者の生活に関する調査","本人票","年度次","201504-201603","2020-01-18"
"0003349274","00100107","Ｑ８　　これまでに以下の病気やけがで通院や入院をしたことはありますか。通院･入院したことのある病気に○をつけてください。（〇はいくつでも）　〔ひきこもり類型〕","若者の生活に関する調査","本人票","年度次","201504-201603","2020-01-18"
"0003349275","00100107","Ｑ８　　これまでに以下の病気やけがで通院や入院をしたことはありますか。通院･入院したことのある病気に○をつけてください。（〇はいくつでも）　〔性・年齢別〕","若者の生活に関する調査","本人票","年度次","201504-201603","2020-01-18"
"0003349276","00100107","Ｑ８　　これまでに以下の病気やけがで通院や入院をしたことはありますか。通院･入院したことのある病気に○をつけてください。（〇はいくつでも）　〔都市規模〕","若者の生活に関する調査","本人票","年度次","201504-201603","2020-01-18"
"0003349277","00100107","Ｑ８　　これまでに以下の病気やけがで通院や入院をしたことはありますか。通院･入院したことのある病気に○をつけてください。（〇はいくつでも）　〔地域〕","若者の生活に関する調査","本人票","年度次","201504-201603","2020-01-18"
"0003349278","00100107","Ｑ９　　あなたは現在学校に通っていますか。(〇はひとつだけ）　〔ひきこもり類型〕","若者の生活に関する調査","本人票","年度次","201504-201603","2020-01-18"
"0003349279","00100107","Ｑ９　　あなたは現在学校に通っていますか。(〇はひとつだけ）　〔性・年齢別〕","若者の生活に関する調査","本人票","年度次","201504-201603","2020-01-18"
"0003349280","00100107","Ｑ９　　あなたは現在学校に通っていますか。(〇はひとつだけ）　〔都市規模〕","若者の生活に関する調査","本人票","年度次","201504-201603","2020-01-18"
"0003349281","00100107","Ｑ９　　あなたは現在学校に通っていますか。(〇はひとつだけ）　〔地域〕","若者の生活に関する調査","本人票","年度次","201504-201603","2020-01-18"
