"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003355852","00450141","1","定員、学校養成所区分別、設置主体別（保健師／助産師／看護師3年課程／看護師2年課程／准看護師／高等学校・専攻科一貫教育校）","看護師等学校養成所入学状況及び卒業生就業状況調査","定員","年度次",0,"2020-02-27"
"0003355861","00450141","10","総括表、学校養成所区分別（准看護師）","看護師等学校養成所入学状況及び卒業生就業状況調査","定員","年度次",0,"2020-02-27"
"0003355853","00450141","2","定員、設置主体別、都道府県別（保健師／助産師／看護師3年課程／看護師3年課程定時制／看護師2年課程／看護師2年課程定時制／看護師2年課程通信制／准看護師／准看護師高等学校衛生看護科／高等学校／専攻科一貫教育校／大学／短期大学3年課程／短期大学2年課程）","看護師等学校養成所入学状況及び卒業生就業状況調査","定員","年度次",0,"2020-02-27"
"0003355854","00450141","3","定員、学校養成所区分別、設置主体別 ※養成所（看護師2年課程）","看護師等学校養成所入学状況及び卒業生就業状況調査","定員","年度次",0,"2020-02-27"
"0003355855","00450141","4","定員、学校養成所区分別、設置主体別 ※（准看護師）","看護師等学校養成所入学状況及び卒業生就業状況調査","定員","年度次",0,"2020-02-27"
"0003355856","00450141","5","定員、学校養成所区分別、設置主体別（大学／短期大学）","看護師等学校養成所入学状況及び卒業生就業状況調査","定員","年度次",0,"2020-02-27"
"0003355857","00450141","6","総括表、都道府県別（保健師／助産師／看護師3年課程／看護師2年課程）","看護師等学校養成所入学状況及び卒業生就業状況調査","定員","年度次",0,"2020-02-27"
"0003355858","00450141","7","総括表、設置主体別（保健師／助産師／看護師3年課程／看護師2年課程）","看護師等学校養成所入学状況及び卒業生就業状況調査","定員","年度次",0,"2020-02-27"
"0003355859","00450141","8","総括表、学校養成所区分別（保健師／助産師／看護師3年課程／看護師2年課程）","看護師等学校養成所入学状況及び卒業生就業状況調査","定員","年度次",0,"2020-02-27"
"0003355860","00450141","9","総括表、都道府県別（准看護師）","看護師等学校養成所入学状況及び卒業生就業状況調査","定員","年度次",0,"2020-02-27"
"0003355862","00450141","11-1","学校養成所入学状況、都道府県別（保健師／助産師／看護師3年課程／看護師3年課程定時制）　入学試験状況","看護師等学校養成所入学状況及び卒業生就業状況調査","入学","年度次",0,"2020-02-27"
"0003355863","00450141","11-2","学校養成所入学状況、都道府県別（保健師／助産師／看護師3年課程／看護師3年課程定時制）　入学者情報","看護師等学校養成所入学状況及び卒業生就業状況調査","入学","年度次",0,"2020-02-27"
"0003355864","00450141","12-1","学校養成所入学状況、学校養成所区分別（保健師／助産師／看護師3年課程／看護師3年課程定時制）　入学試験状況","看護師等学校養成所入学状況及び卒業生就業状況調査","入学","年度次",0,"2020-02-27"
"0003355865","00450141","12-2","学校養成所入学状況、学校養成所区分別（保健師／助産師／看護師3年課程／看護師3年課程定時制）　入学者情報","看護師等学校養成所入学状況及び卒業生就業状況調査","入学","年度次",0,"2020-02-27"
"0003355866","00450141","13-1","学校養成所入学状況、設置主体別（保健師／助産師／看護師3年課程／看護師3年課程定時制）　入学試験状況","看護師等学校養成所入学状況及び卒業生就業状況調査","入学","年度次",0,"2020-02-27"
"0003355867","00450141","13-2","学校養成所入学状況、設置主体別（保健師／助産師／看護師3年課程／看護師3年課程定時制）　入学者情報","看護師等学校養成所入学状況及び卒業生就業状況調査","入学","年度次",0,"2020-02-27"
"0003355868","00450141","14-1","学校養成所入学状況、都道府県別（看護師2年課程／看護師2年課程定時制／看護師2年課程通信制）　入学試験状況","看護師等学校養成所入学状況及び卒業生就業状況調査","入学","年度次",0,"2020-02-27"
"0003355869","00450141","14-2","学校養成所入学状況、都道府県別（看護師2年課程／看護師2年課程定時制／看護師2年課程通信制）　入学者情報","看護師等学校養成所入学状況及び卒業生就業状況調査","入学","年度次",0,"2020-02-27"
"0003355890","00450141","15-1","学校養成所入学状況、学校養成所区分別（看護師2年課程／看護師2年課程定時制／看護師2年課程通信制）　入学試験状況","看護師等学校養成所入学状況及び卒業生就業状況調査","入学","年度次",0,"2020-02-27"
"0003355891","00450141","15-2","学校養成所入学状況、学校養成所区分別（看護師2年課程／看護師2年課程定時制／看護師2年課程通信制）　入学者情報","看護師等学校養成所入学状況及び卒業生就業状況調査","入学","年度次",0,"2020-02-27"
"0003355892","00450141","16-1","学校養成所入学状況、設置主体別（看護師2年課程／看護師2年課程定時制／看護師2年課程通信制）　入学試験状況","看護師等学校養成所入学状況及び卒業生就業状況調査","入学","年度次",0,"2020-02-27"
"0003355893","00450141","16-2","学校養成所入学状況、設置主体別（看護師2年課程／看護師2年課程定時制／看護師2年課程通信制）　入学者情報","看護師等学校養成所入学状況及び卒業生就業状況調査","入学","年度次",0,"2020-02-27"
"0003355894","00450141","17-1","学校養成所入学状況、都道府県別（准看護師／准看護師高等学校衛生看護科／高等学校・専攻科一貫教育校）　入学試験状況","看護師等学校養成所入学状況及び卒業生就業状況調査","入学","年度次",0,"2020-02-27"
"0003355895","00450141","17-2","学校養成所入学状況、都道府県別（准看護師／准看護師高等学校衛生看護科／高等学校・専攻科一貫教育校）　入学者情報","看護師等学校養成所入学状況及び卒業生就業状況調査","入学","年度次",0,"2020-02-27"
"0003355896","00450141","18-1","学校養成所入学状況、学校養成所区分別（准看護師）　入学試験状況","看護師等学校養成所入学状況及び卒業生就業状況調査","入学","年度次",0,"2020-02-27"
"0003355897","00450141","18-2","学校養成所入学状況、学校養成所区分別（准看護師）　入学者情報","看護師等学校養成所入学状況及び卒業生就業状況調査","入学","年度次",0,"2020-02-27"
"0003355898","00450141","19-1","学校養成所入学状況、設置主体別（准看護師／准看護師高等学校衛生看護科／高等学校・専攻科一貫教育校）　入学試験状況","看護師等学校養成所入学状況及び卒業生就業状況調査","入学","年度次",0,"2020-02-27"
"0003355899","00450141","19-2","学校養成所入学状況、設置主体別（准看護師／准看護師高等学校衛生看護科／高等学校・専攻科一貫教育校）　入学者情報","看護師等学校養成所入学状況及び卒業生就業状況調査","入学","年度次",0,"2020-02-27"
"0003355900","00450141","20-1","学校養成所入学状況、都道府県別（大学／短期大学3年課程／短期大学2年課程）　入学試験状況・編入学","看護師等学校養成所入学状況及び卒業生就業状況調査","入学","年度次",0,"2020-02-27"
"0003355901","00450141","20-2","学校養成所入学状況、都道府県別（大学／短期大学3年課程／短期大学2年課程）　入学者情報","看護師等学校養成所入学状況及び卒業生就業状況調査","入学","年度次",0,"2020-02-27"
"0003355902","00450141","21-1","学校養成所入学状況、設置主体別（大学／短期大学3年課程／短期大学2年課程）　入学試験状況・編入学","看護師等学校養成所入学状況及び卒業生就業状況調査","入学","年度次",0,"2020-02-27"
"0003355903","00450141","21-2","学校養成所入学状況、設置主体別（大学／短期大学3年課程／短期大学2年課程）　入学者情報","看護師等学校養成所入学状況及び卒業生就業状況調査","入学","年度次",0,"2020-02-27"
"0003405617","00450141","22","学校養成所卒業生就業状況、都道府県別（保健師）１／２","看護師等学校養成所入学状況及び卒業生就業状況調査","卒業","年度次",0,"2020-02-27"
"0003355905","00450141","23","学校養成所卒業生就業状況、都道府県別（保健師）２／２","看護師等学校養成所入学状況及び卒業生就業状況調査","卒業","年度次",0,"2020-02-27"
"0003405618","00450141","24","学校養成所卒業生就業状況、学校養成所区分別（保健師）","看護師等学校養成所入学状況及び卒業生就業状況調査","卒業","年度次",0,"2020-02-27"
"0003405619","00450141","25","学校養成所卒業生就業状況、設置主体別（保健師）","看護師等学校養成所入学状況及び卒業生就業状況調査","卒業","年度次",0,"2020-02-27"
"0003405620","00450141","26","学校養成所卒業生就業状況、都道府県別（助産師）１／２","看護師等学校養成所入学状況及び卒業生就業状況調査","卒業","年度次",0,"2020-02-27"
"0003355909","00450141","27","学校養成所卒業生就業状況、都道府県別（助産師）２／２","看護師等学校養成所入学状況及び卒業生就業状況調査","卒業","年度次",0,"2020-02-27"
"0003405621","00450141","28","学校養成所卒業生就業状況、学校養成所区分別（助産師）","看護師等学校養成所入学状況及び卒業生就業状況調査","卒業","年度次",0,"2020-02-27"
"0003405622","00450141","29","学校養成所卒業生就業状況、設置主体別（助産師）","看護師等学校養成所入学状況及び卒業生就業状況調査","卒業","年度次",0,"2020-02-27"
"0003405623","00450141","30","学校養成所卒業生就業状況、都道府県別（看護師3年課程／看護師2年課程／高等学校・専攻科一貫教育校）１／２","看護師等学校養成所入学状況及び卒業生就業状況調査","卒業","年度次",0,"2020-02-27"
"0003355913","00450141","31","学校養成所卒業生就業状況、都道府県別（看護師3年課程／看護師2年課程／高等学校・専攻科一貫教育校）２／２","看護師等学校養成所入学状況及び卒業生就業状況調査","卒業","年度次",0,"2020-02-27"
"0003405624","00450141","32","学校養成所卒業生就業状況、学校養成所区分別（看護師3年課程／看護師2年課程）","看護師等学校養成所入学状況及び卒業生就業状況調査","卒業","年度次",0,"2020-02-27"
"0003405625","00450141","33","学校養成所卒業生就業状況、設置主体別（看護師3年課程／看護師2年課程／高等学校・専攻科一貫教育校）","看護師等学校養成所入学状況及び卒業生就業状況調査","卒業","年度次",0,"2020-02-27"
"0003405626","00450141","34","学校養成所卒業生就業状況、都道府県別（准看護師／准看護師高等学校衛生看護科）１／２","看護師等学校養成所入学状況及び卒業生就業状況調査","卒業","年度次",0,"2020-02-27"
"0003355917","00450141","35","学校養成所卒業生就業状況、都道府県別（准看護師／准看護師高等学校衛生看護科）２／２","看護師等学校養成所入学状況及び卒業生就業状況調査","卒業","年度次",0,"2020-02-27"
"0003405627","00450141","36","学校養成所卒業生就業状況、学校養成所区分別（准看護師）","看護師等学校養成所入学状況及び卒業生就業状況調査","卒業","年度次",0,"2020-02-27"
"0003405628","00450141","37","学校養成所卒業生就業状況、設置主体別（准看護師／准看護師　高等学校衛生看護科）","看護師等学校養成所入学状況及び卒業生就業状況調査","卒業","年度次",0,"2020-02-27"
"0003405629","00450141","38","学校養成所卒業生就業状況、都道府県別（大学／短期大学3年課程／短期大学2年課程）１／２","看護師等学校養成所入学状況及び卒業生就業状況調査","卒業","年度次",0,"2020-02-27"
"0003355921","00450141","39","学校養成所卒業生就業状況、都道府県別（大学／短期大学3年課程／短期大学2年課程）２／２","看護師等学校養成所入学状況及び卒業生就業状況調査","卒業","年度次",0,"2020-02-27"
