"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY3","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY4","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0000092550","00200533","0011","行動小分類（９５）、曜日（４A）、男女（３）、年齢（２）、ふだんの就業状態（３）、行動者数、標本数、総平均時間、行動者平均時間、行動者率、行動者数、標本数、総平均時間、行動者平均時間、行動者率","平成13年社会生活基本調査","アンペイドワーク等に係る特別集計結果",NA,NA,NA,"-",,"2022-08-17"
"0000092551","00200533","0012","行動小分類（９５）、曜日（４A）、男女（３）、年齢（２）、ふだんの就業状態（３）、行動者数、標本数、総平均時間、行動者平均時間、行動者率、行動者数、標本数、総平均時間、行動者平均時間、行動者率","平成13年社会生活基本調査","アンペイドワーク等に係る特別集計結果",NA,NA,NA,"-",,"2022-08-17"
"0000092552","00200533","0013","行動小分類（９５）、曜日（４A）、男女（３）、年齢（２）、ふだんの就業状態（３）、行動者数、標本数、総平均時間、行動者平均時間、行動者率、行動者数、標本数、総平均時間、行動者平均時間、行動者率","平成13年社会生活基本調査","アンペイドワーク等に係る特別集計結果",NA,NA,NA,"-",,"2022-08-17"
"0000092553","00200533","0021","行動区分（２）、行動中分類（２９）、曜日（４A）、男女（３）、年齢（１５）、推定人口、標本数、総平均時間、行動者平均時間、行動者率、推定人口、標本数、総平均時間、行動者平均時間、行動者率","平成13年社会生活基本調査","アンペイドワーク等に係る特別集計結果",NA,NA,NA,"-",,"2022-08-17"
"0000092554","00200533","0022","行動区分（２）、行動中分類（２９）、曜日（４A）、男女（３）、ふだんの就業状態 （２）、年齢（１４）、推定人口、標本数、総平均時間、行動者平均時間、行動者率、推定人口、標本数、総平均時間、行動者平均時間、行動者率","平成13年社会生活基本調査","アンペイドワーク等に係る特別集計結果",NA,NA,NA,"-",,"2022-08-17"
"0000092555","00200533","003","行動区分（２）、行動中分類（２９）、曜日（４A）、男女（３）、ふだんの就業状態（３）、教育（卒業者）（５）、推定人口、標本数、総平均時間、行動者平均時間、行動者率、推定人口、標本数、総平均時間、行動者平均時間、行動者率","平成13年社会生活基本調査","アンペイドワーク等に係る特別集計結果",NA,NA,NA,"-",,"2022-08-17"
"0000092556","00200533","004","行動区分（２）、行動中分類（２９）、曜日（４A）、男女（３）、教育（在学者）（６）、推定人口、標本数、総平均時間、行動者平均時間、行動者率、推定人口、標本数、総平均時間、行動者平均時間、行動者率","平成13年社会生活基本調査","アンペイドワーク等に係る特別集計結果",NA,NA,NA,"-",,"2022-08-17"
"0000092557","00200533","005","行動区分（２）、行動中分類（２９）、曜日（４A）、男女（３）、週間就業時間（１０）、推定人口、標本数、総平均時間、行動者平均時間、行動者率、推定人口、標本数、総平均時間、行動者平均時間、行動者率","平成13年社会生活基本調査","アンペイドワーク等に係る特別集計結果",NA,NA,NA,"-",,"2022-08-17"
"0000092558","00200533","006","行動区分（２）、行動中分類（２９）、曜日（４A）、男女（３）、職業（９）、推定人口、標本数、総平均時間、行動者平均時間、行動者率、推定人口、標本数、総平均時間、行動者平均時間、行動者率","平成13年社会生活基本調査","アンペイドワーク等に係る特別集計結果",NA,NA,NA,"-",,"2022-08-17"
"0000092559","00200533","007","行動区分（２）、行動中分類（２９）、曜日（４A）、男女（３）、雇用形態（３）、推定人口、標本数、総平均時間、行動者平均時間、行動者率、推定人口、標本数、総平均時間、行動者平均時間、行動者率","平成13年社会生活基本調査","アンペイドワーク等に係る特別集計結果",NA,NA,NA,"-",,"2022-08-17"
