"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003207421","00200566","1","［単身世帯］フロー編第１表 男女、年間収入階級別１世帯当たり１か月間の収入と支出 - 全国 - 単身世帯・単身世帯のうち勤労者世帯","全国単身世帯収支実態調査（平成26年）","-","201401-201412","2017-12-21"
"0003108764","00200566","10","［単身世帯］ストック編第１０表 - 全国 - 単身世帯・単身世帯のうち勤労者世帯","全国単身世帯収支実態調査（平成26年）","-","201401-201412","2015-07-31"
"0003108814","00200566","11","［単身世帯］ストック編第１１表 - 全国 - 単身世帯・単身世帯のうち勤労者世帯","全国単身世帯収支実態調査（平成26年）","-","201401-201412","2015-07-31"
"0003108781","00200566","12","［単身世帯］ストック編第１２表 - 全国 - 単身世帯・単身世帯のうち勤労者世帯","全国単身世帯収支実態調査（平成26年）","-","201401-201412","2015-07-31"
"0003108780","00200566","13","［単身世帯］ストック編第１３表 - 全国 - 単身世帯・単身世帯のうち勤労者世帯","全国単身世帯収支実態調査（平成26年）","-","201401-201412","2015-07-31"
"0003206283","00200566","14","［単身世帯］ストック編第１４表 男女, 年間収入階級別１世帯当たり貯蓄・負債の現在高と保有率 - 全国 - 単身世帯・単身世帯のうち勤労者世帯","全国単身世帯収支実態調査（平成26年）","-","201401-201412","2017-12-21"
"0003206322","00200566","15","［単身世帯］ストック編第１５表 男女, 年齢階級別１世帯当たり貯蓄・負債の現在高と保有率 - 全国 - 単身世帯・単身世帯のうち勤労者世帯","全国単身世帯収支実態調査（平成26年）","-","201401-201412","2017-12-21"
"0003206304","00200566","16","［単身世帯］ストック編第１６表 男女, 職業別１世帯当たり貯蓄･負債の現在高と保有率 - 全国 - 単身世帯","全国単身世帯収支実態調査（平成26年）","-","201401-201412","2017-12-21"
"0003206342","00200566","17","［単身世帯］ストック編第１７表 男女, 年齢階級別１世帯当たり資産額 - 全国 - 単身世帯・単身世帯のうち勤労者世帯","全国単身世帯収支実態調査（平成26年）","-","201401-201412","2017-12-21"
"0003206284","00200566","18","［単身世帯］分析表第１８表 男女, 世帯属性, 現金実収入階級･消費支出金額階級・貯蓄現在高階級別世帯分布 - 全国 - 単身世帯・単身世帯のうち勤労者世帯","全国単身世帯収支実態調査（平成26年）","-","201401-201412","2017-12-21"
"0003206323","00200566","19","［単身世帯］分析表第１９表 資産の種類・資産額階級, 男女, 世帯属性別世帯分布 - 全国 - 単身世帯・単身世帯のうち勤労者世帯","全国単身世帯収支実態調査（平成26年）","-","201401-201412","2017-12-21"
"0003207440","00200566","2","［単身世帯］フロー編第２表 男女, 年齢階級別１世帯当たり１か月間の収入と支出 - 全国 - 単身世帯・単身世帯のうち勤労者世帯","全国単身世帯収支実態調査（平成26年）","-","201401-201412","2017-12-21"
"0003207460","00200566","3","［単身世帯］フロー編第３表 男女, 職業別１世帯当たり１か月間の収入と支出 - 全国 - 単身世帯","全国単身世帯収支実態調査（平成26年）","-","201401-201412","2017-12-21"
"0003207420","00200566","4","［単身世帯］フロー編第４表 男女, 住居の所有関係別１世帯当たり１か月間の収入と支出 - 全国 - 単身世帯・単身世帯のうち勤労者世帯","全国単身世帯収支実態調査（平成26年）","-","201401-201412","2017-12-21"
"0003206282","00200566","5","［単身世帯］フロー編第５表 年齢階級，設備の有無別１世帯当たり１か月間のエネルギー費目への支出 - 全国 - 単身世帯","全国単身世帯収支実態調査（平成26年）","-","201401-201412","2017-12-21"
"0003206321","00200566","6","［単身世帯］フロー編第６表 住居の所有関係，設備の有無別１世帯当たり１か月間のエネルギー費目への支出 - 全国 - 単身世帯","全国単身世帯収支実態調査（平成26年）","-","201401-201412","2017-12-21"
"0003206303","00200566","7","［単身世帯］フロー編第７表 男女，年齢階級，購入形態，品目別１世帯当たり１か月間の支出 - 全国 - 単身世帯","全国単身世帯収支実態調査（平成26年）","-","201401-201412","2017-12-21"
"0003206780","00200566","8","［単身世帯］フロー編第８表 男女，年齢階級，購入地域，購入先，品目別１世帯当たり１か月間の支出 - 全国 - 単身世帯","全国単身世帯収支実態調査（平成26年）","-","201401-201412","2017-12-21"
"0003108791","00200566","9","［単身世帯］ストック編第９表 - 全国 - 単身世帯・単身世帯のうち勤労者世帯","全国単身世帯収支実態調査（平成26年）","-","201401-201412","2015-07-31"
