"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY3","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003278878","00500209","10","販売農家 農作物　販売目的の作物の類別作付（栽培）農家数・面積","2005年農林業センサス","第２巻　農林業経営体調査報告書（総括編）",NA,NA,"年次","200501-200512","2025-04-09"
"0003278879","00500209","10","販売農家 農作物　販売目的の作物の作物別作付（栽培）農家数と作付（栽培）面積","2005年農林業センサス","第２巻　農林業経営体調査報告書（総括編）",NA,NA,"年次","200501-200512","2025-04-09"
"0003278880","00500209","10","販売農家 農作物　販売目的の作物の作物別作付（栽培）農家数と作付（栽培）面積（北海道のみ）","2005年農林業センサス","第２巻　農林業経営体調査報告書（総括編）",NA,NA,"年次","200501-200512","2025-04-09"
"0003278881","00500209","10","販売農家 農作物　販売目的の作物の作物別作付（栽培）農家数と作付（栽培）面積（沖縄県のみ）","2005年農林業センサス","第２巻　農林業経営体調査報告書（総括編）",NA,NA,"年次","200501-200512","2025-04-09"
"0003278882","00500209","10","販売農家 農作物　販売目的の作物の作付（栽培）面積規模別農家数","2005年農林業センサス","第２巻　農林業経営体調査報告書（総括編）",NA,NA,"年次","200501-200512","2025-04-09"
"0003278883","00500209","10","販売農家 農作物　販売目的の作物の作付（栽培）面積規模別農家数（北海道のみ）","2005年農林業センサス","第２巻　農林業経営体調査報告書（総括編）",NA,NA,"年次","200501-200512","2025-04-09"
"0003278884","00500209","10","販売農家 農作物　販売目的の作物の作付（栽培）面積規模別農家数（沖縄県のみ）","2005年農林業センサス","第２巻　農林業経営体調査報告書（総括編）",NA,NA,"年次","200501-200512","2025-04-09"
"0003278885","00500209","10","販売農家 農作物　販売目的の果樹の栽培農家数と栽培面積","2005年農林業センサス","第２巻　農林業経営体調査報告書（総括編）",NA,NA,"年次","200501-200512","2025-04-09"
"0003278886","00500209","10","販売農家 農作物　販売目的の果樹の栽培農家数と栽培面積（沖縄県のみ）","2005年農林業センサス","第２巻　農林業経営体調査報告書（総括編）",NA,NA,"年次","200501-200512","2025-04-09"
"0003278887","00500209","10","販売農家 農作物　販売目的の果樹の栽培面積規模別農家数","2005年農林業センサス","第２巻　農林業経営体調査報告書（総括編）",NA,NA,"年次","200501-200512","2025-04-09"
"0003278888","00500209","10","販売農家 農作物　販売目的の果樹の栽培面積規模別農家数（沖縄県のみ）","2005年農林業センサス","第２巻　農林業経営体調査報告書（総括編）",NA,NA,"年次","200501-200512","2025-04-09"
"0003278889","00500209","10","販売農家 農作物　販売目的のきのこ類の品目別栽培農家数","2005年農林業センサス","第２巻　農林業経営体調査報告書（総括編）",NA,NA,"年次","200501-200512","2025-04-09"
"0003278890","00500209","11","販売農家 家畜　販売目的の家畜を飼養している農家数と飼養頭羽数","2005年農林業センサス","第２巻　農林業経営体調査報告書（総括編）",NA,NA,"年次","200501-200512","2025-04-09"
"0003278891","00500209","11","販売農家 家畜　販売目的の家畜を飼養している農家数と飼養頭羽数（北海道のみ）","2005年農林業センサス","第２巻　農林業経営体調査報告書（総括編）",NA,NA,"年次","200501-200512","2025-04-09"
"0003278892","00500209","11","販売農家 家畜　販売目的の家畜を飼養している農家数と飼養頭羽数（沖縄県のみ）","2005年農林業センサス","第２巻　農林業経営体調査報告書（総括編）",NA,NA,"年次","200501-200512","2025-04-09"
"0003278893","00500209","11","販売農家 家畜　乳用牛を販売目的で飼養している農家数と飼養頭数","2005年農林業センサス","第２巻　農林業経営体調査報告書（総括編）",NA,NA,"年次","200501-200512","2025-04-09"
"0003278895","00500209","11","販売農家 家畜　肉用牛を販売目的で飼養している農家数と飼養頭数","2005年農林業センサス","第２巻　農林業経営体調査報告書（総括編）",NA,NA,"年次","200501-200512","2025-04-09"
"0003278896","00500209","11","販売農家 家畜　豚を販売目的で飼養している農家数と飼養頭数","2005年農林業センサス","第２巻　農林業経営体調査報告書（総括編）",NA,NA,"年次","200501-200512","2025-04-09"
"0003278897","00500209","11","販売農家 家畜　採卵鶏を販売目的で飼養している農家数と飼養羽数","2005年農林業センサス","第２巻　農林業経営体調査報告書（総括編）",NA,NA,"年次","200501-200512","2025-04-09"
"0003278898","00500209","11","販売農家 家畜　ブロイラーを出荷した農家数と出荷羽数","2005年農林業センサス","第２巻　農林業経営体調査報告書（総括編）",NA,NA,"年次","200501-200512","2025-04-09"
"0003314441","00500209","11","販売農家 家畜　乳用牛を販売目的で飼養している農家数と飼養頭数（北海道のみ）","2005年農林業センサス","第２巻　農林業経営体調査報告書（総括編）",NA,NA,"年次","200501-200512","2025-04-09"
"0003278899","00500209","12","販売農家 雇用労働・受委託　雇用労働等","2005年農林業センサス","第２巻　農林業経営体調査報告書（総括編）",NA,NA,"年次","200501-200512","2025-04-09"
"0003278900","00500209","12","販売農家 雇用労働・受委託　農業生産組織等への参加状況","2005年農林業センサス","第２巻　農林業経営体調査報告書（総括編）",NA,NA,"年次","200501-200512","2025-04-09"
"0003278901","00500209","12","販売農家 雇用労働・受委託　水稲作作業を委託した農家数（沖縄県なし）","2005年農林業センサス","第２巻　農林業経営体調査報告書（総括編）",NA,NA,"年次","200501-200512","2025-04-09"
"0003278902","00500209","12","販売農家 雇用労働・受委託　さとうきび作作業を委託した農家数（沖縄県）","2005年農林業センサス","第２巻　農林業経営体調査報告書（総括編）",NA,NA,"年次","200501-200512","2025-04-09"
"0003278903","00500209","12","販売農家 雇用労働・受委託　農作業を受託した農家の事業部門別農家数","2005年農林業センサス","第２巻　農林業経営体調査報告書（総括編）",NA,NA,"年次","200501-200512","2025-04-09"
"0003278904","00500209","12","販売農家 雇用労働・受委託　農作業を受託した農家の事業部門別農家数（沖縄県のみ）","2005年農林業センサス","第２巻　農林業経営体調査報告書（総括編）",NA,NA,"年次","200501-200512","2025-04-09"
"0003278905","00500209","12","販売農家 雇用労働・受委託　農作業を受託した農家の耕種部門の事業部門別受託面積","2005年農林業センサス","第２巻　農林業経営体調査報告書（総括編）",NA,NA,"年次","200501-200512","2025-04-09"
