"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003327861","00020131","1","災害認定処理状況","国家公務員災害補償統計","-","201704-201803","2019-08-01"
"0003327903","00020131","11","補償及び福祉事業の種類別実施件数・実施金額（時系列）","国家公務員災害補償統計","-","201704-201803","2020-07-13"
"0003335134","00020131","13","補償及び福祉事業の実施件数・金額の構成比（時系列）","国家公務員災害補償統計","-","201704-201803","2020-07-13"
"0003327922","00020131","14","補償及び福祉事業の種類別新規実施件数（時系列）","国家公務員災害補償統計","-","201704-201803","2019-08-01"
"0003327924","00020131","15","補償の免責状況","国家公務員災害補償統計","-","201704-201803","2019-08-01"
"0003327862","00020131","2","災害認定処理状況（時系列）","国家公務員災害補償統計","-","201704-201803","2019-08-01"
"0003327863","00020131","3","事故発生年度別、事由別公務災害認定件数","国家公務員災害補償統計","-","201704-201803","2019-08-01"
"0003327864","00020131","4","事由別公務災害認定件数（時系列）","国家公務員災害補償統計","-","201704-201803","2019-08-01"
"0003327865","00020131","5","事故発生年度別、態様別通勤災害認定件数","国家公務員災害補償統計","-","201704-201803","2019-08-01"
"0003327866","00020131","6","事故発生年度別、事故態様別第三者加害事故認定件数","国家公務員災害補償統計","-","201704-201803","2019-08-01"
"0003335100","00020131","7","事故態様別第三者加害事故認定件数（時系列）","国家公務員災害補償統計","-","201704-201803","2019-08-01"
"0003327901","00020131","7-2","事故態様別第三者加害事故認定割合（時系列）","国家公務員災害補償統計","-","201704-201803","2019-08-01"
"0003327902","00020131","8","補償及び福祉事業の種類別実施状況","国家公務員災害補償統計","-","201704-201803","2020-07-13"
