"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY3","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY4","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003411563","00450011","1","中巻 人口動態総覧，都道府県（特別区－指定都市再掲）別(1995年～)","人口動態調査","人口動態統計","確定数","総覧",NA,"年次","202301-202312","2025-03-27"
"0003411564","00450011","2","中巻 人口動態総覧（件数），都道府県・市部－郡部－保健所－市区町村別（都道府県・市区町村）(2006年～)","人口動態調査","人口動態統計","確定数","総覧",NA,"年次","202301-202312","2025-03-27"
"0003411565","00450011","2","中巻 人口動態総覧（件数），都道府県・市部－郡部－保健所－市区町村別（都道府県・保健所）(1995年～)","人口動態調査","人口動態統計","確定数","総覧",NA,"年次","202301-202312","2025-03-27"
"0003411559","00450011","3-1-1","上巻 人口動態総覧及び平均発生間隔 －対前年比較－","人口動態調査","人口動態統計","確定数","総覧",NA,"年次","202301-202312","2025-03-27"
"0003411560","00450011","3-1-2","上巻 本報告において別掲とした件数","人口動態調査","人口動態統計","確定数","総覧",NA,"年次","202301-202312","2025-03-27"
"0003411561","00450011","3-2-1","上巻 年次別にみた人口動態総覧","人口動態調査","人口動態統計","確定数","総覧",NA,"年次","202301-202312","2025-03-27"
"0003411562","00450011","3-3-1","上巻 都道府県（特別区－指定都市再掲）別にみた人口動態総覧","人口動態調査","人口動態統計","確定数","総覧",NA,"年次","202301-202312","2025-03-27"
"0003411627","00450011","1","中巻 出生数，都道府県（特別区－指定都市再掲）・市部－郡部・出生の場所別","人口動態調査","人口動態統計","確定数","出生",NA,"年次","202301-202312","2025-03-27"
"0003411636","00450011","10","中巻 出生数，出生時の世帯の主な仕事・母の年齢（５歳階級）・出生順位別","人口動態調査","人口動態統計","確定数","出生",NA,"年次","202301-202312","2025-03-27"
"0003411637","00450011","11","中巻 出生数，出生時の体重（500g階級）；出生時の平均体重，単産－複産・都道府県（特別区－指定都市再掲）・性別","人口動態調査","人口動態統計","確定数","出生",NA,"年次","202301-202312","2025-03-27"
"0003411638","00450011","12","中巻 出生数，出生時の体重（500g階級）；出生時の平均体重，単産－複産・母の年齢（５歳階級）・性別","人口動態調査","人口動態統計","確定数","出生",NA,"年次","202301-202312","2025-03-27"
"0003411639","00450011","13","中巻 出生数，出生時の体重（500g階級）；出生時の平均体重，単産－複産・性・出産順位別","人口動態調査","人口動態統計","確定数","出生",NA,"年次","202301-202312","2025-03-27"
"0003411640","00450011","14","中巻 出生数，出生時の体重（500g階級）；出生時の平均体重，単産－複産・性・妊娠期間（４週区分・早期－正期－過期再掲）別","人口動態調査","人口動態統計","確定数","出生",NA,"年次","202301-202312","2025-03-27"
"0003411641","00450011","15","中巻 出生数，出生時の体重（500g階級）；出生時の平均体重，嫡出子－嫡出でない子・母の年齢（５歳階級）・性別","人口動態調査","人口動態統計","確定数","出生",NA,"年次","202301-202312","2025-03-27"
"0003411642","00450011","16","中巻 出生数，出生時の身長；出生時の平均身長，都道府県（特別区－指定都市再掲）・性別","人口動態調査","人口動態統計","確定数","出生",NA,"年次","202301-202312","2025-03-27"
"0003411643","00450011","17","中巻 嫡出出生数，出生順位・母の年齢（各歳）・父母の結婚期間別","人口動態調査","人口動態統計","確定数","出生",NA,"年次","202301-202312","2025-03-27"
"0003411644","00450011","18","中巻 出生数，市部－郡部・母の年齢（５歳階級）・嫡出子－嫡出でない子・性別","人口動態調査","人口動態統計","確定数","出生",NA,"年次","202301-202312","2025-03-27"
"0003411628","00450011","2","中巻 出生数，市部－郡部－都道府県（特別区－指定都市再掲）・出生月・性別","人口動態調査","人口動態統計","確定数","出生",NA,"年次","202301-202312","2025-03-27"
"0003411629","00450011","3","中巻 出生数，都道府県（特別区－指定都市再掲）・出産順位・性別","人口動態調査","人口動態統計","確定数","出生",NA,"年次","202301-202312","2025-03-27"
