"STATDISPID","statcode","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003317062","00601030","集計結果　国籍･地域（21区分）別　回答者属性および旅行内容　全体","訪日外国人消費動向調査（四半期報）","四半期",0,"2019-03-27"
"0003317063","00601030","集計結果　国籍･地域（21区分）別　回答者属性および旅行内容　入国空港・海港　出国空港・海港","訪日外国人消費動向調査（四半期報）","四半期",0,"2019-03-27"
"0003317064","00601030","集計結果　国籍･地域（21区分）別　回答者属性および旅行内容　居住地","訪日外国人消費動向調査（四半期報）","四半期",0,"2019-03-27"
"0003317065","00601030","集計結果　国籍･地域（21区分）別　回答者属性および旅行内容　滞在日数","訪日外国人消費動向調査（四半期報）","四半期",0,"2019-03-27"
"0003317066","00601030","集計結果　国籍･地域（21区分）別　回答者属性および旅行内容　性・年代","訪日外国人消費動向調査（四半期報）","四半期",0,"2019-03-27"
"0003317067","00601030","集計結果　国籍･地域（21区分）別　回答者属性および旅行内容　日本への来訪回数","訪日外国人消費動向調査（四半期報）","四半期",0,"2019-03-27"
"0003317068","00601030","集計結果　国籍･地域（21区分）別　回答者属性および旅行内容　同行者","訪日外国人消費動向調査（四半期報）","四半期",0,"2019-03-27"
"0003317069","00601030","集計結果　国籍･地域（21区分）別　回答者属性および旅行内容　主な来訪目的","訪日外国人消費動向調査（四半期報）","四半期",0,"2019-03-27"
"0003317070","00601030","集計結果　国籍･地域（21区分）別　回答者属性および旅行内容　利用した宿泊施設","訪日外国人消費動向調査（四半期報）","四半期",0,"2019-03-27"
"0003317071","00601030","集計結果　国籍･地域（21区分）別　回答者属性および旅行内容　買物場所","訪日外国人消費動向調査（四半期報）","四半期",0,"2019-03-27"
"0003317072","00601030","集計結果　国籍･地域（21区分）別　回答者属性および旅行内容　利用した金融機関や決済方法","訪日外国人消費動向調査（四半期報）","四半期",0,"2019-03-27"
"0003317073","00601030","集計結果　国籍･地域（21区分）別　回答者属性および旅行内容　ラウンジ利用","訪日外国人消費動向調査（四半期報）","四半期",0,"2019-03-27"
"0003317074","00601030","集計結果　国籍･地域（21区分）別　回答者属性および旅行内容　旅行手配方法","訪日外国人消費動向調査（四半期報）","四半期",0,"2019-03-27"
"0003317075","00601030","集計結果　国籍･地域（21区分）別　回答者属性および旅行内容　申込方法","訪日外国人消費動向調査（四半期報）","四半期",0,"2019-03-27"
"0003317076","00601030","集計結果　国籍･地域（21区分）別　回答者属性および旅行内容　手配の時期","訪日外国人消費動向調査（四半期報）","四半期",0,"2019-03-27"
"0003317077","00601030","集計結果　国籍･地域（21区分）別　回答者属性および旅行内容　世帯年収","訪日外国人消費動向調査（四半期報）","四半期",0,"2019-03-27"
"0003317078","00601030","集計結果　居住地（21区分）別　回答者属性および旅行内容　全体","訪日外国人消費動向調査（四半期報）","四半期",0,"2019-03-27"
"0003317079","00601030","集計結果　居住地（21区分）別　回答者属性および旅行内容　入国空港・海港　出国空港・海港","訪日外国人消費動向調査（四半期報）","四半期",0,"2019-03-27"
"0003317080","00601030","集計結果　居住地（21区分）別　回答者属性および旅行内容　国籍･地域","訪日外国人消費動向調査（四半期報）","四半期",0,"2019-03-27"
"0003317081","00601030","集計結果　居住地（21区分）別　回答者属性および旅行内容　滞在日数","訪日外国人消費動向調査（四半期報）","四半期",0,"2019-03-27"
"0003317082","00601030","集計結果　居住地（21区分）別　回答者属性および旅行内容　性・年代","訪日外国人消費動向調査（四半期報）","四半期",0,"2019-03-27"
"0003317083","00601030","集計結果　居住地（21区分）別　回答者属性および旅行内容　日本への来訪回数","訪日外国人消費動向調査（四半期報）","四半期",0,"2019-03-27"
"0003317084","00601030","集計結果　居住地（21区分）別　回答者属性および旅行内容　同行者","訪日外国人消費動向調査（四半期報）","四半期",0,"2019-03-27"
"0003317085","00601030","集計結果　居住地（21区分）別　回答者属性および旅行内容　主な来訪目的","訪日外国人消費動向調査（四半期報）","四半期",0,"2019-03-27"
"0003317086","00601030","集計結果　居住地（21区分）別　回答者属性および旅行内容　利用した宿泊施設","訪日外国人消費動向調査（四半期報）","四半期",0,"2019-03-27"
"0003317087","00601030","集計結果　居住地（21区分）別　回答者属性および旅行内容　買物場所","訪日外国人消費動向調査（四半期報）","四半期",0,"2019-03-27"
"0003317088","00601030","集計結果　居住地（21区分）別　回答者属性および旅行内容　利用した金融機関や決済方法","訪日外国人消費動向調査（四半期報）","四半期",0,"2019-03-27"
"0003317089","00601030","集計結果　居住地（21区分）別　回答者属性および旅行内容　ラウンジ利用","訪日外国人消費動向調査（四半期報）","四半期",0,"2019-03-27"
