"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY3","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY4","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003031864","00450022","1","推計患者数の年次推移，入院－外来の種別×施設の種類別","平成８年～令和２年患者調査","平成20年患者調査","上巻（全国）",NA,NA,"-",,"2025-03-21"
"0003027265","00450022","11","推計患者数，入院－外来×性・年齢階級×病院－一般診療所別","平成８年～令和２年患者調査","平成20年患者調査","上巻（全国）",NA,NA,"-",,"2025-03-21"
"0003027283","00450022","12","推計患者数，入院－外来×傷病分類×病院－一般診療所別","平成８年～令和２年患者調査","平成20年患者調査","上巻（全国）",NA,NA,"-",,"2025-03-21"
"0003027303","00450022","13","推計入院患者数，病院－一般診療所・病床の種類×性・年齢階級別","平成８年～令和２年患者調査","平成20年患者調査","上巻（全国）",NA,NA,"-",,"2025-03-21"
"0003027317","00450022","14","推計入院患者数，病院－一般診療所・病床の種類×傷病分類別","平成８年～令和２年患者調査","平成20年患者調査","上巻（全国）",NA,NA,"-",,"2025-03-21"
"0003027369","00450022","15","推計患者数，入院－外来・透析治療の状況×性・年齢階級×病院－一般診療所別","平成８年～令和２年患者調査","平成20年患者調査","上巻（全国）",NA,NA,"-",,"2025-03-21"
"0003028616","00450022","16","推計患者数，診療費支払方法×傷病分類×入院－外来別","平成８年～令和２年患者調査","平成20年患者調査","上巻（全国）",NA,NA,"-",,"2025-03-21"
"0003027410","00450022","17","推計患者数，入院－外来・紹介の状況×傷病分類×病院－一般診療所別","平成８年～令和２年患者調査","平成20年患者調査","上巻（全国）",NA,NA,"-",,"2025-03-21"
"0003027256","00450022","18","推計患者数，紹介の状況 × 入院－外来・施設の種別別","平成８年～令和２年患者調査","平成20年患者調査","上巻（全国）",NA,NA,"-",,"2025-03-21"
"0003027268","00450022","19","推計入院患者数，紹介の状況×病院－一般診療所・病床の種類別","平成８年～令和２年患者調査","平成20年患者調査","上巻（全国）",NA,NA,"-",,"2025-03-21"
